Spanish,English
Hace viento,It’s windy
¿Qué tiempo hace hoy?,What’s the weather like today?
Va a llover,It’s going to rain
Hay tormenta,There is a storm
¿Dónde puedo ver la puesta del sol?,Where can I watch the sunset?
Está soleado,It’s sunny
Hay niebla,It’s foggy
¿Hay mosquitos aquí?,Are there mosquitoes here?
¿Dónde está la montaña?,Where is the mountain?
¿Es seguro nadar aquí?,Is it safe to swim here?
Buenos días,Good morning
Buenas tardes,Good afternoon
Buenas noches,Good night
¿Qué hora es?,What time is it?
Tengo prisa,I’m in a hurry
Estoy de vacaciones,I’m on vacation
¡Qué bonito!,How beautiful!
¡Qué interesante!,How interesting!
¡Qué divertido!,How fun!
Estoy aburrido / aburrida,I’m bored
Estoy feliz,I’m happy
Estoy preocupado / preocupada,I’m worried
Estoy emocionado / emocionada,I’m excited
Buena suerte,Good luck
Feliz cumpleaños,Happy birthday
¿Hay algún festival hoy?,Is there a festival today?
¿Dónde está el museo?,Where is the museum?
¿Qué eventos hay esta semana?,What events are there this week?
Me encanta esta música,I love this music
¿Dónde puedo comprar entradas?,Where can I buy tickets?
¿A qué hora empieza?,What time does it start?
¿Dónde está el bar más cercano?,Where is the nearest bar?
¿Qué me recomienda para beber?,What do you recommend to drink?
Quiero algo sin alcohol,I want something without alcohol
¿Está abierto hasta tarde?,Is it open late?
¿Hay una discoteca cerca?,Is there a nightclub nearby?
¿Quieres bailar conmigo?,Do you want to dance with me?
¿Cuál es la contraseña del Wi-Fi?,What’s the Wi-Fi password?
¿Dónde puedo cargar mi teléfono?,Where can I charge my phone?
No hay señal aquí,There’s no signal here
Mi teléfono no funciona,My phone isn’t working
¿Tienen enchufe europeo?,Do you have a European plug?
Necesito usar internet,I need to use the internet
¿Dónde está el cajero automático?,Where is the ATM?
Necesito ir al banco,I need to go to the bank
¿Dónde hay una tienda?,Where is a store?
Quiero comprar comida,I want to buy food
¿Dónde está el supermercado?,Where is the supermarket?
¿Está abierto hoy?,Is it open today?
Estoy con mi familia,I’m with my family
Tengo hijos,I have children
¿Hay actividades para niños?,Are there activities for kids?
Necesito una silla para bebé,I need a baby chair
Mi hijo está perdido,My child is missing
¿Dónde hay un parque?,Where is there a park?
Estoy aprendiendo español,I’m learning Spanish
Hablas muy rápido,You speak very fast
Me gusta viajar,I like to travel
¿Puedes repetirlo?,Can you repeat it?
Estoy disfrutando mucho,I’m really enjoying myself
