English,Turkish
Is it far from here?,Buraya uzak mı?
Where is the taxi stand?,Taksi durağı nerede?
I’m looking for this address,Bu adresi arıyorum
Can you show it on the map?,Haritada gösterebilir misiniz?
Cross the street,Caddeyi geç
Go up the stairs,Merdivenlerden yukarı çık
Go down the stairs,Merdivenlerden aşağı in
It’s next to...,Yanında...
On the corner,Köşede
I have a reservation,Rezervasyonum var
Do you have rooms available?,Boş odanız var mı?
How much is it per night?,Geceliği ne kadar?
Is breakfast included?,Kahvaltı dahil mi?
What time is check-in?,Giriş saati kaçta?
Can I check out late?,Geç çıkış yapabilir miyim?
"The key, please",Anahtar lütfen
Where is the elevator?,Asansör nerede?
There is a problem with the room,Odada bir sorun var
There is no hot water,Sıcak su yok
The room is dirty,Oda kirli
Do you have extra towels?,Fazla havlunuz var mı?
Where is the gym?,Spor salonu nerede?
Where is the pool?,Havuz nerede?
Is there free Wi-Fi?,Ücretsiz Wi-Fi var mı?
It’s hot,Bu çok sıcak
It’s cold,Hava soğuk
It’s raining,Yağmur yağıyor
It’s nice weather,Güzel hava
It’s cloudy,Hava bulutlu
It’s windy,Hava rüzgârlı
What’s the weather like today?,Bugün hava nasıl?
It’s going to rain,Yağmur yağacak
There is a storm,Bir fırtına var
Where can I watch the sunset?,Gün batımını nerede izleyebilirim?
It’s sunny,Hava güneşli
It’s foggy,Sisli
Are there mosquitoes here?,Burada sivrisinek var mı?
Where is the mountain?,Dağ nerede?
Is it safe to swim here?,Burada yüzmek güvenli mi?
Good morning,Günaydın
Good afternoon,Tünaydın
Good night,İyi geceler
What time is it?,Saat kaç?
I’m in a hurry,Acelem var
I’m on vacation,Tatildeyim
How beautiful!,Ne kadar güzel!
How interesting!,Ne kadar ilginç!
How fun!,Ne kadar eğlenceli!
I’m bored,Sıkıldım
I’m happy,Mutluyum
I’m worried,Endişeliyim
I’m excited,Heyecanlıyım
Good luck,İyi şanlar
Happy birthday,Doğum günün kutlu olsun
Is there a festival today?,Bugün bayram var mı?
Where is the museum?,Müze nerede?
What events are there this week?,Bu hafta hangi etkinlikler var?
I love this music,Bu müziği seviyorum
Where can I buy tickets?,Biletleri nereden satın alabilirim?
What time does it start?,Ne zaman başlar?
Where is the nearest bar?,En yakın bar nerede?
What do you recommend to drink?,Ne içmemizi önerirsiniz?
I want something without alcohol,Alkol içermeyen bir şey istiyorum
Is it open late?,Geç saatlere kadar açık mı?
Is there a nightclub nearby?,Yakınınızda gece kulübü var mı?
Do you want to dance with me?,Benimle dans etmek ister misin?
What’s the Wi-Fi password?,Wi-Fi şifresi nedir?
Where can I charge my phone?,Telefonumu nerede şarj edebilirim?
There’s no signal here,Burada sinyal yok
My phone isn’t working,Telefonum çalışmıyor
Do you have a European plug?,Avrupa fişiniz var mı?
I need to use the internet,İnterneti kullanmam gerekiyor
Where is the ATM?,ATM nerede?
I need to go to the bank,Bankaya gitmem gerek
Where is a store?,Mağaza nerede?
I want to buy food,Yemek satın almak istiyorum
Where is the supermarket?,Süpermarket nerede?
Is it open today?,Bugün açık mı?
I’m with my family,Ailemle birlikteyim
I have children,Çocuklarım var
Are there activities for kids?,Çocuklara yönelik aktiviteler var mı?
I need a baby chair,Bebek sandalyesine ihtiyacım var
My child is missing,Çocuğum kayıp
Where is there a park?,Nerede park var?
I’m learning Spanish,İspanyolca öğreniyorum
You speak very fast,Çok hızlı konuşuyorsun
I like to travel,Seyahat etmeyi severim
Can you repeat it?,Tekrarlayabilir misiniz?
I’m really enjoying myself,Gerçekten eğleniyorum
